"name"	"label"	"gender"	"churchperson"	"middle_class"	"kinship_id"	"cathar_aff"	"apostle_aff"	"other_heterodoxy_aff"	"deponent"	"redeponent"	"ever_summoned"	"ever_pledged"	"ever_incarcerated"	"ever_tortured"	"inq_FV"	"inq_GV"	"inq_GP"	"inq_BdF"	"non_id_aff"
"P0125"	"Anthonius"	1	0	1	129	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0126"	"Anthonius de Plumatio"	1	0	0	130	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0129"	"Antilia"	0	0	0	133	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0132"	"Arardus de Puteo"	1	0	0	135	0	1	0	0	0	0	0	0	0	0	1	0	0	0
"P0140"	"Aspectatus de Sancta Helena"	1	0	0	142	0	1	0	0	0	0	0	0	0	0	1	0	0	0
"P0142"	"Attolinus de Castlerano de Regio"	1	0	0	144	0	0	1	1	0	1	1	0	0	0	1	0	0	0
"P0145"	"Avancius de Funi"	1	0	0	147	1	0	0	0	0	1	1	0	0	0	1	0	0	0
"P0146"	"Avançus de Mantua"	1	0	1	148	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0147"	"Avenente de Prato"	0	0	0	149	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0156"	"Baldricus de Brisia"	1	1	0	158	0	1	0	0	0	0	0	0	0	0	1	1	0	0
"P0158"	"Barba"	1	0	1	160	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0161"	"Betholinus Blaxii de Mançolino"	1	0	0	163	0	0	0	1	0	0	0	0	0	0	1	0	0	1
"P0165"	"Bartholinus Petri Balugani de Plumatio"	1	0	0	167	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0167"	"Bertholinus Truglonis de Montebellio"	1	0	0	169	0	0	0	0	0	0	0	0	0	0	0	1	0	1
"P0178"	"Bartholomea de Bochadeferris"	0	0	0	179	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0183"	"Bartholomea Petri Rubey de Savigno"	0	1	0	183	0	1	0	1	0	1	1	0	0	0	0	1	1	0
"P0184"	"Bartholomea de Plumatio"	0	0	0	184	0	1	0	0	0	0	0	0	0	0	1	1	1	0
"P0186"	"Bartholomea de Solegnano"	0	0	0	186	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0193"	"Bartholomeus Dal Pra"	1	0	0	193	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0195"	"Bartholomeus Yvani"	1	0	0	195	0	0	1	1	0	1	0	0	0	0	1	0	0	0
"P0197"	"Bertholomeus de Lanceis"	1	0	0	197	0	0	0	1	0	1	0	0	0	0	1	0	0	1
"P0199"	"Bartholomeus de Medicis de Regio"	1	1	0	199	0	0	0	1	0	1	0	0	0	0	1	0	0	1
"P0204"	"Bartholomeus"	1	1	0	203	0	0	1	1	0	1	0	0	0	0	1	0	0	0
"P0206"	"Bartholomeus de Samolis"	1	0	0	205	0	0	0	1	0	1	0	0	0	0	1	0	0	1
"P0214"	"Bartholus de Massa S. Petri"	1	1	0	212	0	1	0	1	0	1	0	0	0	0	0	1	0	0
"P0216"	"Beatrisia Iacobi Brunelli"	0	0	0	214	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0217"	"Beatrisia de Fredo"	0	0	0	215	0	1	0	0	0	0	0	0	0	0	1	1	0	0
"P0218"	"Beatrix de Florencia"	0	0	0	216	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0219"	"Beatrix de Sassolo"	0	0	0	217	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"P0220"	"Beatrixa Ardicionis"	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	1	0	1
"P0221"	"Beatrixia Martini"	0	0	0	219	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0223"	"Beatrixia"	0	0	0	220	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0224"	"Beatrixia Clerici"	0	0	0	77	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0226"	"Beatrixia de Bochadeferris"	0	0	0	179	0	1	0	1	0	1	0	0	0	0	0	1	1	0
"P0228"	"Beatrixia Menaboi"	0	0	0	223	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0230"	"Beatrixia de Casanello"	0	0	0	225	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"P0235"	"Belesmança"	0	0	0	230	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0238"	"Bellina Balugani"	0	0	0	167	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0239"	"Bellotus de Pergamo"	1	0	0	233	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0240"	"Bellucia"	0	0	0	234	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0245"	"Benasuta de Verona"	0	0	0	239	0	0	1	1	0	0	0	0	0	0	1	0	0	0
"P0246"	"Benata Boni"	0	0	0	114	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0251"	"Benedictus"	1	1	0	244	0	1	0	1	0	1	0	0	0	0	0	1	0	0
"P0252"	"Benedictus de Cummis"	1	0	1	245	0	0	0	1	0	0	0	0	0	0	1	0	0	1
"P0253"	"Benedictus Fantini de Mongorgio"	1	0	0	246	0	1	0	0	0	0	0	0	0	0	0	1	0	0
